unit,hhtyp,indic_il,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 
EUR,A1_DCH,MEI_E,NO	21535 	18604 b	20150 	20986 	20460 	20311 	20883 	22306 	25271 	21773 	20344 	19055 	16692 	17666 	16463 	13567 	15098 	15101 	16922 	19962 
EUR,A1_DCH,MEI_E,PL	5927 b	5620 	5191 	5108 	3967 	4036 	4205 	4171 	3757 	3900 	3900 	3989 	3562 	4076 	3338 	2546 	2294 	1772 	: 	: 
EUR,A1_DCH,MEI_E,PT	9366 b	8505 b	9264 	7630 	7275 	6535 	6375 	5905 	6041 	6537 	6612 	7402 	6579 	6848 	6681 	6761 	6396 	7141 	5895 	: 
EUR,A1_DCH,MEI_E,RO	3901 b	3419 	2973 	2846 	2064 	1875 	1363 	1527 	1536 	1303 	1391 	1323 	1416 	1428 	1246 	1111 	: 	: 	: 	: 
EUR,A1_DCH,MEI_E,RS	: 	2500 	2494 	2300 	2075 	2044 	1625 	1943 	1838 	1811 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
EUR,A1_DCH,MEI_E,SE	17127 	15723 	14734 	13828 	14123 	14404 	14144 	13723 	13965 	13554 	12828 	11355 	9862 	11581 	11073 b	9834 	8614 	9050 	9152 	: 
EUR,A1_DCH,MEI_E,SI	12708 b	11183 	10636 	9450 	8773 	8612 	8564 	8026 	7955 	7675 	8252 	7607 	7097 	7465 	6695 	5938 	6625 	5874 	: 	: 
EUR,A1_DCH,MEI_E,SK	4730 b	5136 	5533 	4978 	5238 	4433 	4169 	4436 	5171 	4389 	4802 	4539 	4097 	3982 	3388 	2854 	4284 	1925 	: 	: 
EUR,A1_DCH,MEI_E,TR	: 	2699 	2746 	2905 	3584 	3574 	3588 	3700 	3112 	3327 	2487 	2505 	2621 	2779 	2748 	2379 	1943 	: 	: 	: 
EUR,A1_DCH,MEI_E,UK	: 	: 	: 	: 	8243 	6505 b	7195 	6604 	6709 	5583 	6344 b	6035 	4935 	5270 	5948 	7103 	6176 	6582 	: 	: 
EUR,A1_DCH,MEI_E,XK	: 	: 	: 	: 	1125 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
