A1,MED_E,NAC,MT	13326 	13036 	12403 	11572 	11567 	11237 	10707 	10438 	9927 	9641 	8970 	8706 	8198 	7973 	7294 	7113 	3059 	2733 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,NL	21330 	20354 	20604 	19788 	19235 	18697 	18436 b	17796 	17489 	17429 	17401 	17465 	17429 	17140 	16826 	15787 	15092 	15613 b	: 	: 	13330 	13012 	12513 	11624 	11040 	10036 	9920 
A1,MED_E,NAC,NO	323962 	309939 b	309281 	298469 	286628 	285737 	282224 	277219 	266933 	257388 	253982 	233620 	225931 	225584 	201395 	191511 	178243 	170326 	167598 	159216 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,PL	31136 	27248 	25174 	22648 	21600 	20901 	20198 	19610 	19600 	18550 	17714 	16600 	15819 	14925 	13760 	12638 	11915 	10804 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,PT	10360 	9800 b	9260 	8400 	7840 	7655 	7250 	7200 	7067 	7040 	7290 	7000 	6804 	6622 	6216 	5499 	5056 	4900 	4900 b	: 	4170 	3763 	3492 	3149 	3083 	2848 	2640 
A1,MED_E,NAC,RO	23488 	17418 	14906 	14300 	12373 	10550 	9235 	8670 	8434 	8156 	7927 	7850 	7350 	6705 	5240 	4170 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,RS	: 	361750 	340000 	312000 	276000 	258000 	240000 	240000 	241000 	242400 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,SE	219567 	208829 	201238 	192874 	182713 	177834 	171841 	165663 	167309 	162834 	155966 	152712 	149113 	146635 	138471 b	136158 	135071 	130990 	121932 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,SI	11586 	10922 	10180 	9767 	9057 	9140 	8925 	8941 	8955 	8641 	8568 	8314 	8185 	7765 	7256 	6876 	1466785 	1394523 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,SK	7172 	6731 	6570 	6192 	6119 	5785 	5853 	5799 	5685 	5549 	5325 	5116 	4836 	4328 	118478 	110796 	98640 	87160 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,TR	: 	29909 	25630 	22394 	17600 	15360 	13900 	12177 	11338 	10176 	9505 	8525 	7640 	7259 	6830 	6445 	5692 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,NAC,UK	: 	: 	: 	: 	15888 	15373 b	14641 	14603 	13530 	13262 	13471 b	12607 	12106 	12185 	11932 	11911 	10907 	10480 b	: 	: 	8436 	8160 	7416 	7182 	6750 	6265 	5904 
A1,MED_E,NAC,XK	: 	: 	: 	: 	1960 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,AL	: 	3905 	3772 	3585 	3359 	3151 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,AT	21809 	21598 	20861 	21033 	20292 	20669 	20286 	19653 	18927 	19129 	18518 	17773 	17342 	16897 	17059 b	16515 	16182 	15915 	14908 	13856 b	14958 	14207 	12418 	12457 	11594 	11319 	11068 
A1,MED_E,PPS,BE	18216 	17516 	16834 	17055 b	16372 	16291 	16454 	15869 	15469 	15234 	14529 	14214 	14075 	14375 	13608 	13050 	12970 	12720 	12353 	12423 b	12779 	12068 	12380 	11955 	11822 	10685 	10372 
A1,MED_E,PPS,BG	6053 	6271 	5461 	5405 	5071 	5030 	4781 b	4658 	5215 	4055 	3669 	3432 	3461 	3037 	2679 	2067 	2114 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,CH	24933 	23616 	23645 	24840 	25152 	25305 	25437 	24895 	24352 b	22862 	21919 	21033 	20827 	21325 	20779 	20181 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,CY	17020 	15844 	15807 	16908 	15850 	14480 	14159 	13518 	13968 	14839 	15080 	15215 	14193 	15579 	14081 b	12217 	10752 	9373 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,CZ	11044 	10292 	10319 	10102 	9713 	9312 	9275 	8855 	8740 	8675 	8074 	7630 	7382 	7368 	7231 	6738 	6238 	5803 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,DE	19773 	19657 	19694 b	18629 	18237 	17395 	17076 	16731 	15461 	15769 	15518 	15138 	14676 	15354 	15323 	14809 	14413 	14103 b	: 	: 	14303 	13336 	12461 	12667 	12259 	11686 	11091 
A1,MED_E,PPS,DK	18127 	18085 	17343 b	17990 	17207 	16772 	17133 	16183 	15966 	15650 	15168 	14905 b	13826 	13822 	13483 	13001 	12301 	12202 	11880 	12289 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,EA	: 	17250 	17202 b	17042 	16726 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,EA18	: 	: 	17291 b	17132 	16823 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,EA19	: 	17250 	17202 b	17042 	16726 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,EA20	17672 	17192 	17134 	16975 	16685 	16369 	16313 	15714 	15139 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,EE	9422 	8602 	8294 	8208 	7310 	6947 	6719 	6137 	5558 b	5610 	5279 	5221 	5040 	4908 	4366 	3921 	3558 	3097 	2718 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,EL	10044 	9160 	9344 	9115 	8707 	8744 	8951 	8708 	8731 	9077 	9573 	9664 	10532 	10803 	10695 	9770 	9858 	9304 	8652 	8729 b	7408 	7335 	6337 	6091 	6258 	6080 	5520 
A1,MED_E,PPS,ES	15698 	14826 	15341 	14778 	14179 	13901 	14172 	13604 	13033 	13177 	13199 	12617 	13143 	13518 	12858 b	10778 	9655 	9236 	9269 b	: 	8627 	8158 	7217 	6966 	6622 	6434 	6142 
A1,MED_E,PPS,EU	: 	: 	: 	15667 e	15328 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,EU15	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11758 e	11250 e	10543 e	10314 e	9846 e	9384 e	9075 e
A1,MED_E,PPS,EU27_2007	: 	: 	: 	15709 e	15371 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,EU27_2020	16547 	15979 	15785 b	15700 e	15344 e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,EU28	: 	: 	: 	15667 e	15328 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,FI	15531 	15051 	14947 	14991 	14657 	14861 	14939 	14025 	13829 	13967 	13408 	13184 	12945 	12645 	11905 	11238 	10784 	10633 	9914 b	: 	9171 	8646 	8506 	8265 	8414 	8003 	: 
A1,MED_E,PPS,FR	17980 b	17297 	17322 b	18407 	18759 	19043 	19165 	18257 	17745 	17690 	17052 	16595 	15827 	16246 	15997 	13649 	13307 	12981 	12410 b	: 	12860 	12200 	11653 	11511 	10616 	10227 	10142 
A1,MED_E,PPS,HR	7590 	7127 	7047 	7050 	6434 	6056 	6348 	5947 	5863 	5707 	5367 	5257 	5355 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,HU	8211 	8223 	7730 	7604 	7280 	7320 	7395 	7164 	6921 	6575 	6561 	6269 	6024 	6058 	5799 	5617 	5181 	4936 	: 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,IE	14226 	14273 	14693 b	14284 	13128 	12584 	12007 	11887 	12262 	11928 	12190 	12575 	12167 	11995 	12220 	11390 	10090 	9368 	8281 	7672 b	6715 	6387 	6829 	6504 	6214 	6141 	5836 
A1,MED_E,PPS,IS	: 	: 	: 	: 	19277 	17690 	17564 	16066 	15627 	15288 	14647 	13964 	14209 	16568 	17082 	16092 	15782 	13020 	12221 	: 	: 	: 	: 	: 	: 	: 	: 
A1,MED_E,PPS,IT	17280 	16642 	16242 	16311 	16197 	15939 	15818 	14994 	14868 	14502 	14681 	14606 	13907 	13666 	13349 	12784 	12239 	11926 	11698 b	: 	10588 	10837 	10291 	9572 	9163 	9198 	8720 
